industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","10~","YEARS5","남","1",54554.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","~1","YEARS1","여","2",8712.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","1~3","YEARS2","여","2",15801.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","3~5","YEARS3","여","2",10666.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","5~10","YEARS4","여","2",12552.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","10~","YEARS5","여","2",7675.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","~1","YEARS1","남","1",20440.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","1~3","YEARS2","남","1",46506.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","3~5","YEARS3","남","1",27064.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","5~10","YEARS4","남","1",64480.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","10~","YEARS5","남","1",99407.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","~1","YEARS1","여","2",8331.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","1~3","YEARS2","여","2",18355.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","3~5","YEARS3","여","2",13594.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","5~10","YEARS4","여","2",27372.0
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26","2020","10~","YEARS5","여","2",36657.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","~1","YEARS1","남","1",9391.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","1~3","YEARS2","남","1",18504.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","3~5","YEARS3","남","1",9500.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","5~10","YEARS4","남","1",19005.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","10~","YEARS5","남","1",17958.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","~1","YEARS1","여","2",3303.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","1~3","YEARS2","여","2",7265.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","3~5","YEARS3","여","2",3259.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","5~10","YEARS4","여","2",6944.0
"의료, 정밀, 광학기기 및 시계 제조업","C27","2020","10~","YEARS5","여","2",5964.0
"전기장비 제조업","C28","2020","~1","YEARS1","남","1",21138.0
"전기장비 제조업","C28","2020","1~3","YEARS2","남","1",42452.0
"전기장비 제조업","C28","2020","3~5","YEARS3","남","1",22506.0
"전기장비 제조업","C28","2020","5~10","YEARS4","남","1",33906.0
"전기장비 제조업","C28","2020","10~","YEARS5","남","1",43623.0
"전기장비 제조업","C28","2020","~1","YEARS1","여","2",9563.0
"전기장비 제조업","C28","2020","1~3","YEARS2","여","2",10939.0
"전기장비 제조업","C28","2020","3~5","YEARS3","여","2",8721.0
"전기장비 제조업","C28","2020","5~10","YEARS4","여","2",13478.0
"전기장비 제조업","C28","2020","10~","YEARS5","여","2",9333.0
"기타 기계 및 장비 제조업","C29","2020","~1","YEARS1","남","1",47004.0
"기타 기계 및 장비 제조업","C29","2020","1~3","YEARS2","남","1",79679.0
"기타 기계 및 장비 제조업","C29","2020","3~5","YEARS3","남","1",48862.0
