year,geo_name,geo,industry_name,industry,EMP_DD_5,EMP_DD_6
"2016","전국","01000KR","수리업","S95",3060.0,2.5
"2016","전국","01000KR","기타 개인 서비스업","S96",3780.0,3.2
"2017","전국","01000KR","전체","0",279539.0,2.3
"2017","전국","01000KR","광업","B",133.0,1.0
"2017","전국","01000KR","석탄, 원유 및 천연가스 광업","B05",0.0,0.0
"2017","전국","01000KR","금속 광업","B06",4.0,1.4
"2017","전국","01000KR","비금속광물 광업;연료용 제외","B07",129.0,1.3
"2017","전국","01000KR","광업 지원 서비스업","B08",0.0,0.0
"2017","전국","01000KR","제조업","C",85310.0,2.6
"2017","전국","01000KR","식료품 제조업","C10",7822.0,3.7
"2017","전국","01000KR","음료 제조업","C11",139.0,1.3
"2017","전국","01000KR","담배 제조업","C12",24.0,1.4
"2017","전국","01000KR","섬유제품 제조업; 의복제외","C13",2571.0,2.5
"2017","전국","01000KR","의복, 의복액세서리 및 모피제품 제조업","C14",1211.0,1.7
"2017","전국","01000KR","가죽, 가방 및 신발 제조업","C15",195.0,1.1
"2017","전국","01000KR","목재 및 나무제품 제조업;가구제외","C16",943.0,4.6
"2017","전국","01000KR","펄프, 종이 및 종이제품 제조업","C17",2277.0,3.5
"2017","전국","01000KR","인쇄 및 기록매체 복제업","C18",801.0,2.3
"2017","전국","01000KR","코크스, 연탄 및 석유정제품 제조업","C19",106.0,1.2
"2017","전국","01000KR","화학물질 및 화학제품 제조업;의약품 제외","C20",3236.0,2.2
"2017","전국","01000KR","의료용 물질 및 의약품 제조업","C21",944.0,2.4
"2017","전국","01000KR","고무제품 및 플라스틱제품 제조업","C22",7110.0,2.9
"2017","전국","01000KR","비금속 광물제품 제조업","C23",2532.0,2.5
"2017","전국","01000KR","1차 금속 제조업","C24",3901.0,2.5
"2017","전국","01000KR","금속가공제품 제조업;기계 및 가구 제외","C25",12547.0,3.7
"2017","전국","01000KR","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26",6941.0,1.6
"2017","전국","01000KR","의료, 정밀, 광학기기 및 시계 제조업","C27",1977.0,2.0
"2017","전국","01000KR","전기장비 제조업","C28",4664.0,2.2
"2017","전국","01000KR","기타 기계 및 장비 제조업","C29",14511.0,3.7
