,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
484,차지비,부산 화명코오롱하늘채이백십동,2,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동210동 지하1층주차장",제한없음,35.23156597,129.0123187
485,차지비,부산 화명코오롱하늘채이백십일,1,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동211동 지하1층",제한없음,35.23156597,129.0123187
486,차지비,부산 화명코오롱하늘채이백십일,2,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동211동 지하1층",제한없음,35.23156597,129.0123187
487,차지비,부산 화명코오롱하늘채이백이동,1,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 201동~211동,상가202동 지하주차장",제한없음,35.23156597,129.0123187
488,차지비,부산 화명코오롱하늘채이백이동,2,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 201동~211동,상가202동 지하주차장",제한없음,35.23156597,129.0123187
489,차지비,부산 화명코오롱하늘채이백팔동,1,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동208동 지하1층",제한없음,35.23156597,129.0123187
490,차지비,부산 화명코오롱하늘채이백팔동,2,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동208동 지하1층",제한없음,35.23156597,129.0123187
491,차지비,부산광역시 금정구 삼성디지털프라자금정점,1,AC완속,부산광역시,금정구,부산광역시 금정구 중앙대로 1715,제한없음,35.23753213,129.0919052
492,차지비,부산광역시 부산신세계아울렛,1,AC완속,부산광역시,기장군,부산광역시 기장군 장안읍 정관로 1133 정문진입로 A주차타워 1층 ,제한없음,35.32381098,129.2349662
493,차지비,부산광역시 부산신세계아울렛,2,AC완속,부산광역시,기장군,부산광역시 기장군 장안읍 정관로 1133 정문진입로 A주차타워 1층 ,제한없음,35.32381098,129.2349662
